,DATA,drgania,gestosc,ruda,woda,obroty,prad1,prad2,prad3,energia
0,2021-01-01 01:00:00,,,,,0.0,3.5166666507720947,2.950000047683716,3.6916667024294534,9.48
1,2021-01-01 02:00:00,,,,,0.0,3.541666626930237,2.975000023841858,3.7416666547457376,9.5
2,2021-01-01 03:00:00,,,,,0.0,3.591666579246521,3.066666603088379,3.791666626930237,9.53
3,2021-01-01 04:00:00,,,,,0.0,3.325000047683716,2.8583333690961203,3.533333341280619,9.58
4,2021-01-01 05:00:00,,,,,0.0,3.324999988079071,2.8750000596046448,3.5166666507720947,9.44
5,2021-01-01 06:00:00,,,,,0.0,3.299999952316284,2.8750000596046448,3.5,9.44
6,2021-01-01 07:00:00,,,,,0.0,3.23333332935969,2.7833333015441895,3.391666750113169,9.44
7,2021-01-01 08:00:00,,,,,0.0,3.358333388964335,2.9083333810170493,3.541666626930237,9.38
8,2021-01-01 09:00:00,,,,,0.0,3.4916666746139526,2.9916666746139526,3.675000031789144,9.47
9,2021-01-01 10:00:00,,,,,0.0,3.3583333690961203,2.908333420753479,3.566666603088379,9.54
10,2021-01-01 11:00:00,,,,,0.0,3.3666667143503823,2.900000055631002,3.566666603088379,9.48
11,2021-01-01 12:00:00,,,,,0.0,3.324999988079071,2.850000023841858,3.5,9.47
12,2021-01-01 13:00:00,,,,,0.0,3.3666666944821677,2.8833333452542624,3.541666646798452,9.42
13,2021-01-01 14:00:00,,,,,0.0,3.408333420753479,2.9000000953674316,3.608333249886831,9.44
14,2021-01-01 15:00:00,,,,,0.0,3.3750000596046448,2.883333404858907,3.5333333015441895,9.48
15,2021-01-01 16:00:00,,,,,0.0,1.0333333512147267,1.1166666969656944,1.0333333276212215,9.43
16,2021-01-01 17:00:00,,,,,0.0,0.11666666840513547,0.3583333417773247,0.20000000298023224,2.11
17,2021-01-01 18:00:00,,,,,0.0,2.000000044082602,1.7750000009934108,2.1499999773999057,0.0
18,2021-01-01 19:00:00,,,,,0.0,3.3583333690961203,2.8666667143503823,3.541666626930237,5.51
19,2021-01-01 20:00:00,,,,,0.0,3.3333333333333335,2.8666667143503823,3.5166666507720947,9.55
20,2021-01-01 21:00:00,,,,,0.0,3.408333400885264,2.9166667461395264,3.599999944368998,9.54
21,2021-01-01 22:00:00,,,,,0.0,3.5,3.0,3.6833333174387612,9.57
22,2021-01-01 23:00:00,,,,,0.0,3.4166667461395264,2.9250000715255737,3.5749999284744263,9.63
23,2021-01-02 00:00:00,285.9368,1820.137,140.5651,68.31262,0.0,3.5166666507720947,2.9916666746139526,3.6916667024294534,9.55
24,2021-01-02 01:00:00,327.30874,1844.2572666666667,145.38392833333333,66.20769883333334,0.0,3.475000023841858,2.933333396911621,3.6333332856496177,9.61
25,2021-01-02 02:00:00,338.138665,1837.6191166666665,144.95675,66.90328583333333,0.0,3.5583332777023315,3.024999976158142,3.749999980131785,9.57
26,2021-01-02 03:00:00,314.96121000000005,1838.6386,145.200785,67.10468883333333,0.0,3.599999944368998,3.0166666507720947,3.7916666666666665,9.63
27,2021-01-02 04:00:00,380.32671833333336,1841.7846166666668,136.76040666666668,62.437401,0.0,3.5333333015441895,2.9833333492279053,3.7333333492279053,9.65
28,2021-01-02 05:00:00,272.75898166666667,1839.0586,145.20242166666668,66.85918216666667,0.0,3.458333373069763,2.9000000953674316,3.6249999403953552,9.62
29,2021-01-02 06:00:00,330.91306833333334,1838.81065,142.78952333333334,65.87201233333333,0.0,3.4166667461395264,2.9166667461395264,3.616666595141093,9.57
30,2021-01-02 07:00:00,358.87554,1840.7981666666667,142.11103666666668,65.2423415,0.0,3.1416666309038797,2.6916666626930237,3.3166666825612388,9.55
31,2021-01-02 08:00:00,354.744055,1842.1458833333334,144.6101,66.10286466666666,0.0,3.174999992052714,2.725000023841858,3.3416666984558105,9.35
32,2021-01-02 09:00:00,375.28525,1843.7586333333334,143.558549,65.56982633333334,0.0,2.916666646798452,2.474999964237213,3.025000015894572,9.39
33,2021-01-02 10:00:00,411.17152999999996,1839.20815,144.93350999999998,66.5889535,0.0,2.991666634877523,2.4916666746139526,3.050000011920929,9.22
34,2021-01-02 11:00:00,370.80008,1842.1093,144.99553333333333,66.60545983333333,0.0,2.9666666388511658,2.550000011920929,3.1833333174387612,9.16
35,2021-01-02 12:00:00,359.98005666666666,1838.8754166666665,144.66466333333335,66.61379033333334,0.0,3.0583333571751914,2.649999996026357,3.291666646798452,9.24
36,2021-01-02 13:00:00,352.09557333333333,1839.2264333333333,139.22016666666664,63.8202,0.0,3.083333353201548,2.6083333492279053,3.191666622956594,9.29
37,2021-01-02 14:00:00,338.90713666666664,1837.4063166666667,142.14899666666668,65.68014616666667,0.0,3.249999980131785,2.7333333094914756,3.3750000596046448,9.3
38,2021-01-02 15:00:00,359.56687166666666,1838.9922166666665,137.76235166666666,63.537352166666665,0.0,3.149999976158142,2.674999992052714,3.3083333174387612,9.4
39,2021-01-02 16:00:00,294.0139633333334,1838.8199166666668,141.82592000000002,65.389528,0.0,3.1249999602635703,2.649999976158142,3.26666667064031,9.32
40,2021-01-02 17:00:00,308.74801833333333,1839.6797000000001,142.959065,65.9079595,0.0,3.066666622956594,2.616666615009308,3.2333333094914756,9.32
41,2021-01-02 18:00:00,369.48372,1838.9598166666667,137.82714066666668,63.41711833333333,0.0,3.0416666666666665,2.6083332697550454,3.2166666785875955,9.28
42,2021-01-02 19:00:00,319.5773766666667,1840.9318333333333,140.17540666666667,64.72958783333334,0.0,3.1666666666666665,2.7166666984558105,3.3333333333333335,9.28
